request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"For this emergency expense, recommend full payment; the validated 90-day forecast preserves the IDR 30049000 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the INR 71300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_49,9893656.32,not_affordable,not_recommended,none,2024-05-18,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the IDR 20275700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_50,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the INR 99700 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the IDR 7811000 minimum while respecting your education priority and payment preferences."
request_52,18163.32,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"For this emergency expense, recommend wait; the validated 90-day forecast preserves the INR 41500 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_53,432.13,not_affordable,not_recommended,none,2026-01-16,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the USD 2100 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_54,1426.61,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the ZAR 37000 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_55,124785.47,not_affordable,not_recommended,none,2026-08-16,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the INR 124300 minimum while respecting your emergency savings priority and payment preferences."
request_56,0,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the USD 2100 minimum while respecting your education priority and payment preferences."
request_57,12294.62,not_affordable,not_recommended,none,2026-06-16,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 42700 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_58,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the IDR 14433900 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"For this investment, recommend installments; the validated 90-day forecast preserves the INR 132600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_60,0,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the USD 400 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"For this purchase, recommend installments; the validated 90-day forecast preserves the ZAR 36700 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the USD 1300 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_63,40725.39,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the INR 153500 minimum while respecting your emergency savings priority and payment preferences."
request_64,33471.33,not_affordable,not_recommended,none,2024-08-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 36100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_65,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the ZAR 15500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"For this emergency expense, recommend full payment; the validated 90-day forecast preserves the INR 80700 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_67,244.94,not_affordable,not_recommended,none,2024-11-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the USD 1200 minimum while respecting your education priority and payment preferences."
request_68,1258.58,not_affordable,not_recommended,none,2025-04-26,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the USD 1500 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_69,500.61,affordable_with_plan,full_payment,2026-01-04:529.1,2026-02-15,stop:event_6405,"For this investment, recommend full payment; the validated 90-day forecast preserves the EUR 700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_70,48229.18,not_affordable,not_recommended,none,2025-02-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 115000 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_71,0,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the IDR 8884800 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_72,11290.15,affordable_with_plan,full_payment,2026-07-05:11330,2026-07-16,stop:event_6682,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the ZAR 12200 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_73,38091.93,not_affordable,not_recommended,none,2023-03-18,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the INR 103200 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the ZAR 21900 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"For this emergency expense, recommend installments; the validated 90-day forecast preserves the ZAR 39000 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_76,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the USD 1800 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_77,55074.73,not_affordable,not_recommended,none,2025-11-15,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the INR 82200 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_78,24485.18,not_affordable,not_recommended,none,2025-12-17,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the INR 55200 minimum while respecting your emergency savings priority and payment preferences."
request_79,169.38,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the EUR 1000 minimum while respecting your emergency savings priority and payment preferences."
request_80,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the INR 121300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_81,2046.85,affordable_with_plan,full_payment,2026-07-03:2076,2026-07-16,reduce_to:event_7636:37.5,"For this travel, recommend full payment; the validated 90-day forecast preserves the USD 1600 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_82,0,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the USD 1100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_83,3738.72,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the INR 37800 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_84,25146.19,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the INR 91300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_85,243686.18,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the IDR 6396300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"For this travel, recommend full payment; the validated 90-day forecast preserves the INR 84900 minimum while respecting your healthcare priority and payment preferences."
request_87,6158.32,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 185900 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-16,none,"For this housing, recommend installments; the validated 90-day forecast preserves the ZAR 25800 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_89,8857574.16,not_affordable,not_recommended,none,2026-01-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the IDR 12534700 minimum while respecting your emergency savings priority and payment preferences."
request_90,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the ZAR 7600 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_91,210.42,not_affordable,not_recommended,none,2024-11-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the EUR 2100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_92,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 28100 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"For this travel, recommend full payment; the validated 90-day forecast preserves the USD 1900 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"For this housing, recommend full payment; the validated 90-day forecast preserves the EUR 600 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_95,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the INR 145500 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_96,71590.37,not_affordable,not_recommended,none,2026-03-18,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the INR 56500 minimum while respecting your education priority and payment preferences."
request_97,1205.18,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-16,none,"For this housing, recommend installments; the validated 90-day forecast preserves the ZAR 29700 minimum while respecting your debt repayment priority and payment preferences."
request_98,5445.05,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the ZAR 30000 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_99,16155.35,not_affordable,not_recommended,none,2026-07-15,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the ZAR 49100 minimum while respecting your healthcare priority and payment preferences."
request_100,0,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the ZAR 32500 minimum while respecting your emergency savings priority and payment preferences."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the INR 187400 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_102,1640.68,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the EUR 900 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_103,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the INR 125500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_104,0,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the ZAR 24700 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_105,48333.75,not_affordable,not_recommended,none,2026-06-15,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the INR 73900 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_106,438.72,not_affordable,not_recommended,none,2025-02-16,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the EUR 1200 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_107,0,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the EUR 1600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_108,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 24100 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_109,528.45,not_affordable,not_recommended,none,2024-05-16,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the EUR 1700 minimum while respecting your emergency savings priority and payment preferences."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"For this family transfer, recommend installments; the validated 90-day forecast preserves the ZAR 11200 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the IDR 23022800 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_112,210.2,affordable_with_plan,full_payment,2024-06-05:271.7,2024-08-13,reduce_to:event_10400:13,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the EUR 500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_113,1076.46,not_affordable,not_recommended,none,2026-11-16,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the INR 82300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_114,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 113400 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_115,14426.44,not_affordable,not_recommended,none,2024-11-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 38800 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_116,1459.31,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the INR 80300 minimum while respecting your education priority and payment preferences."
request_117,835.82,not_affordable,not_recommended,none,2026-07-16,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the EUR 1000 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_118,0,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the EUR 600 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_119,50533.94,not_affordable,not_recommended,none,2025-07-17,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the INR 151200 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the IDR 20050300 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the USD 800 minimum while respecting your education priority and payment preferences."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"For this other, recommend installments; the validated 90-day forecast preserves the IDR 12588500 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the IDR 18091200 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_124,1348.84,not_affordable,not_recommended,none,2024-08-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the EUR 1600 minimum while respecting your debt repayment priority and payment preferences."
request_125,5267.04,not_affordable,not_recommended,none,2025-12-16,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the ZAR 11300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_126,936.04,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the INR 129700 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_127,7581.24,not_affordable,not_recommended,none,2024-11-13,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the ZAR 41000 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_128,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 42600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_129,95.06,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the USD 800 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_130,320.35,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the USD 1400 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_131,1100.12,not_affordable,not_recommended,none,2025-07-25,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the USD 1100 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_132,0,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the USD 1100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the IDR 9986200 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_134,3774424.4,not_affordable,not_recommended,none,2025-10-16,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the IDR 15902500 minimum while respecting your education priority and payment preferences."
request_135,257.59,not_affordable,not_recommended,none,2026-07-16,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the USD 500 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_136,478.24,not_affordable,not_recommended,none,2024-06-15,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the USD 1100 minimum while respecting your healthcare priority and payment preferences."
request_137,18612.61,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the INR 71800 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_138,828.78,affordable_with_plan,partial_payment,2026-04-07:828.78|2026-04-15:428.16,2026-04-15,none,"For this purchase, recommend partial payment; the validated 90-day forecast preserves the EUR 2300 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_139,1214.11,not_affordable,not_recommended,none,2024-11-16,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the USD 1500 minimum while respecting your education priority and payment preferences."
request_140,1083.23,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the ZAR 21600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_141,12888.68,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 67300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the USD 1700 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_143,1764.51,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the ZAR 11300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_144,161.12,not_affordable,not_recommended,none,2026-09-16,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the USD 600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_145,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the INR 155400 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_146,12157.8,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the INR 108600 minimum while respecting your education priority and payment preferences."
request_147,534.72,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-14,none,"For this travel, recommend installments; the validated 90-day forecast preserves the EUR 900 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_148,6771.79,not_affordable,not_recommended,none,2024-08-16,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the ZAR 20000 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_149,23696.91,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-16,none,"For this travel, recommend installments; the validated 90-day forecast preserves the ZAR 42100 minimum while respecting your healthcare priority and payment preferences."
request_150,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the EUR 700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_151,26821793.85,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-15,reduce_to:event_13923:633650,"For this housing, recommend full payment; the validated 90-day forecast preserves the IDR 31633600 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_152,10264.03,not_affordable,not_recommended,none,2025-04-18,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the ZAR 11900 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_153,0,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the USD 1400 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_154,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the EUR 1300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"For this purchase, recommend full payment; the validated 90-day forecast preserves the INR 56300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_156,9146.48,not_affordable,not_recommended,none,2026-06-16,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 26900 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_157,4136535.43,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the IDR 15714100 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"For this emergency expense, recommend installments; the validated 90-day forecast preserves the INR 131400 minimum while respecting your retirement investment priority and payment preferences."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the ZAR 8700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
